iter	Passed	Remaining
0	5	5136
1	9	4548
2	13	4348
3	17	4318
4	21	4324
5	26	4339
6	30	4353
7	35	4363
8	39	4374
9	44	4384
10	48	4393
11	53	4392
12	57	4386
13	62	4379
14	66	4374
15	71	4376
16	75	4373
17	79	4360
18	84	4355
19	88	4348
20	93	4348
21	97	4342
22	102	4338
23	106	4330
24	110	4324
25	115	4315
26	119	4307
27	123	4299
28	128	4292
29	132	4286
30	137	4295
31	142	4314
32	147	4311
33	151	4311
34	156	4307
35	160	4303
36	165	4303
37	169	4301
38	174	4299
39	179	4296
40	183	4293
41	188	4289
42	192	4286
43	197	4282
44	201	4279
45	206	4276
46	210	4273
47	215	4278
48	220	4288
49	225	4291
50	230	4295
51	235	4294
52	240	4291
53	244	4289
54	249	4287
55	254	4284
56	258	4279
57	263	4275
58	267	4273
59	272	4275
60	277	4272
61	282	4269
62	286	4262
63	290	4254
64	295	4247
65	299	4239
66	303	4232
67	308	4225
68	312	4217
69	316	4210
70	321	4202
71	325	4195
72	329	4187
73	334	4180
74	338	4172
75	342	4165
76	347	4159
77	351	4152
78	355	4146
79	359	4139
80	364	4133
81	368	4127
82	373	4121
83	377	4114
84	381	4107
85	385	4100
86	390	4097
87	394	4093
88	399	4089
89	404	4086
90	408	4079
91	412	4073
92	417	4067
93	421	4063
94	426	4062
95	431	4060
96	435	4057
97	440	4054
98	445	4051
99	449	4047
100	454	4044
101	459	4041
102	463	4037
103	468	4035
104	473	4033
105	477	4030
106	482	4029
107	487	4030
108	492	4028
109	497	4024
110	501	4018
111	506	4013
112	510	4007
113	515	4003
114	520	4002
115	524	3997
116	529	3992
117	533	3986
118	537	3981
119	542	3975
120	546	3971
121	551	3968
122	556	3966
123	560	3960
124	564	3954
125	569	3948
126	573	3942
127	577	3936
128	582	3931
129	587	3931
130	592	3931
131	597	3931
132	602	3929
133	607	3927
134	612	3926
135	617	3921
136	621	3916
137	626	3910
138	630	3904
139	634	3899
140	639	3893
141	643	3887
142	647	3882
143	652	3876
144	656	3870
145	660	3864
146	665	3860
147	669	3854
148	673	3849
149	678	3843
150	682	3837
151	686	3832
152	691	3826
153	695	3821
154	700	3817
155	705	3814
156	709	3810
157	714	3807
158	718	3802
159	723	3799
160	728	3794
161	732	3788
162	736	3784
163	741	3778
164	745	3773
165	750	3768
166	754	3762
167	758	3755
168	762	3749
169	767	3745
170	771	3742
171	776	3739
172	781	3735
173	785	3731
174	790	3725
175	794	3720
176	798	3714
177	803	3711
178	808	3707
179	813	3704
180	818	3702
181	822	3698
182	827	3695
183	832	3692
184	837	3689
185	842	3686
186	846	3679
187	850	3673
188	854	3666
189	858	3660
190	862	3653
191	866	3646
192	870	3640
193	874	3634
194	879	3629
195	883	3624
196	887	3618
197	892	3613
198	896	3608
199	901	3604
200	905	3600
201	910	3596
202	915	3592
203	919	3587
204	923	3582
205	928	3577
206	932	3571
207	937	3569
208	942	3566
209	946	3560
210	950	3555
211	955	3550
212	959	3545
213	963	3540
214	968	3535
215	972	3530
216	976	3525
217	981	3520
218	986	3516
219	990	3512
220	995	3508
221	1000	3504
222	1005	3502
223	1010	3499
224	1014	3494
225	1019	3490
226	1023	3486
227	1028	3482
228	1033	3478
229	1037	3473
230	1041	3468
231	1046	3463
232	1050	3458
233	1054	3453
234	1059	3448
235	1063	3443
236	1087	3501
237	1092	3496
238	1097	3493
239	1102	3489
240	1106	3483
241	1110	3478
242	1114	3472
243	1119	3467
244	1123	3461
245	1127	3456
246	1132	3451
247	1136	3446
248	1140	3440
249	1145	3435
250	1149	3429
251	1153	3424
252	1157	3419
253	1162	3413
254	1166	3408
255	1170	3403
256	1175	3397
257	1179	3392
258	1183	3386
259	1188	3381
260	1192	3376
261	1196	3371
262	1201	3365
263	1205	3360
264	1209	3355
265	1214	3350
266	1218	3345
267	1222	3339
268	1227	3334
269	1231	3330
270	1236	3325
271	1240	3319
272	1244	3314
273	1249	3309
274	1253	3304
275	1257	3298
276	1261	3293
277	1266	3288
278	1270	3283
279	1274	3277
280	1279	3272
281	1283	3267
282	1287	3262
283	1291	3257
284	1296	3251
285	1300	3246
